Heartbeat,Hours_Worked,Weather,Location,Recommendation
79,11,Snowy,Suburban,Meditation
94,6,Sunny,Suburban,Meditation
85,10,Sunny,Suburban,Meditation
92,5,Snowy,Rural,Meditation
100,12,Rainy,Rural,Walk
84,7,Sunny,Suburban,Meditation
91,7,Cloudy,Rural,Meditation
52,12,Sunny,Urban,Public Interaction
75,12,Sunny,Rural,Meditation
74,12,Sunny,Urban,Public Interaction
61,4,Cloudy,Suburban,Meditation
52,12,Sunny,Urban,Public Interaction
103,12,Rainy,Urban,Public Interaction
83,5,Cloudy,Urban,Public Interaction
69,7,Cloudy,Suburban,Meditation
53,8,Sunny,Suburban,Meditation
86,8,Cloudy,Rural,Meditation
85,10,Rainy,Rural,Walk
86,10,Snowy,Urban,Public Interaction
65,7,Cloudy,Suburban,Meditation
51,13,Sunny,Rural,Meditation
81,4,Sunny,Suburban,Meditation
60,9,Snowy,Suburban,Meditation
98,4,Snowy,Suburban,Meditation
77,7,Cloudy,Suburban,Meditation
71,10,Rainy,Urban,Public Interaction
81,6,Sunny,Rural,Meditation
70,5,Rainy,Urban,Public Interaction
107,7,Snowy,Rural,Meditation
82,7,Sunny,Rural,Meditation
62,6,Sunny,Urban,Public Interaction
56,7,Sunny,Suburban,Meditation
61,9,Sunny,Urban,Public Interaction
64,4,Rainy,Suburban,Walk
70,9,Sunny,Suburban,Meditation
100,12,Sunny,Urban,Public Interaction
96,8,Rainy,Urban,Public Interaction
63,11,Rainy,Suburban,Walk
105,4,Cloudy,Urban,Public Interaction
99,5,Snowy,Urban,Public Interaction
77,12,Snowy,Rural,Meditation
68,10,Sunny,Suburban,Meditation
104,13,Cloudy,Urban,Public Interaction
89,10,Sunny,Rural,Meditation
78,4,Rainy,Rural,Walk
75,11,Rainy,Suburban,Walk
82,11,Rainy,Rural,Walk
103,12,Rainy,Rural,Walk
86,6,Sunny,Urban,Public Interaction
76,6,Sunny,Suburban,Meditation
51,9,Sunny,Rural,Meditation
86,8,Sunny,Rural,Meditation
51,4,Rainy,Rural,Walk
57,8,Snowy,Urban,Public Interaction
87,8,Sunny,Rural,Meditation
65,6,Snowy,Urban,Public Interaction
52,6,Rainy,Urban,Public Interaction
102,9,Sunny,Suburban,Meditation
109,6,Cloudy,Suburban,Meditation
73,5,Sunny,Urban,Public Interaction
107,10,Snowy,Suburban,Meditation
89,5,Sunny,Suburban,Meditation
92,4,Sunny,Suburban,Meditation
53,12,Sunny,Rural,Meditation
103,5,Sunny,Urban,Public Interaction
66,11,Sunny,Rural,Meditation
86,10,Sunny,Suburban,Meditation
98,12,Rainy,Rural,Walk
77,10,Sunny,Rural,Meditation
85,6,Sunny,Rural,Meditation
98,11,Sunny,Suburban,Reflection
89,6,Sunny,Suburban,Meditation
72,11,Sunny,Urban,Public Interaction
66,6,Sunny,Suburban,Meditation
102,13,Rainy,Rural,Walk
89,5,Sunny,Rural,Meditation
82,9,Sunny,Rural,Meditation
53,12,Rainy,Rural,Walk
95,7,Rainy,Rural,Walk
101,11,Sunny,Urban,Public Interaction
84,11,Snowy,Rural,Meditation
83,5,Sunny,Suburban,Meditation
53,10,Rainy,Urban,Public Interaction
92,9,Sunny,Rural,Meditation
50,12,Rainy,Suburban,Walk
97,8,Sunny,Suburban,Meditation
75,9,Sunny,Suburban,Meditation
68,8,Sunny,Rural,Meditation
91,9,Rainy,Urban,Public Interaction
108,8,Cloudy,Rural,Meditation
89,7,Sunny,Urban,Public Interaction
73,6,Sunny,Rural,Meditation
105,5,Sunny,Urban,Public Interaction
73,7,Sunny,Urban,Public Interaction
75,5,Sunny,Suburban,Meditation
52,12,Rainy,Urban,Public Interaction
50,11,Snowy,Urban,Public Interaction
104,8,Snowy,Suburban,Meditation
106,12,Cloudy,Urban,Public Interaction
98,8,Sunny,Rural,Meditation
65,5,Sunny,Rural,Meditation
58,12,Sunny,Rural,Meditation
91,4,Sunny,Urban,Public Interaction
51,12,Rainy,Urban,Public Interaction
94,9,Sunny,Suburban,Meditation
50,11,Rainy,Urban,Public Interaction
94,6,Sunny,Urban,Public Interaction
70,6,Cloudy,Rural,Meditation
51,12,Sunny,Urban,Public Interaction
85,6,Sunny,Rural,Meditation
102,5,Cloudy,Rural,Meditation
74,6,Sunny,Suburban,Meditation
53,10,Sunny,Suburban,Meditation
85,13,Sunny,Suburban,Meditation
86,10,Sunny,Rural,Meditation
103,11,Sunny,Urban,Public Interaction
72,8,Sunny,Urban,Public Interaction
87,11,Sunny,Suburban,Meditation
106,4,Snowy,Urban,Public Interaction
63,11,Rainy,Suburban,Walk
67,5,Sunny,Urban,Public Interaction
105,4,Rainy,Rural,Walk
51,13,Snowy,Suburban,Meditation
64,10,Sunny,Suburban,Meditation
83,13,Sunny,Urban,Public Interaction
73,6,Sunny,Urban,Public Interaction
93,11,Rainy,Urban,Public Interaction
65,5,Rainy,Rural,Walk
62,4,Cloudy,Suburban,Meditation
66,7,Cloudy,Rural,Meditation
90,10,Cloudy,Suburban,Meditation
97,13,Sunny,Suburban,Reflection
95,8,Rainy,Suburban,Walk
77,10,Rainy,Suburban,Walk
105,13,Sunny,Suburban,Reflection
92,13,Cloudy,Suburban,Reflection
97,13,Rainy,Urban,Public Interaction
68,5,Rainy,Urban,Public Interaction
79,8,Sunny,Rural,Meditation
63,7,Sunny,Rural,Meditation
97,5,Sunny,Rural,Meditation
61,6,Snowy,Rural,Meditation
61,5,Sunny,Rural,Meditation
100,13,Sunny,Suburban,Reflection
88,6,Sunny,Suburban,Meditation
65,4,Cloudy,Suburban,Meditation
72,6,Snowy,Urban,Public Interaction
82,11,Snowy,Rural,Meditation
63,10,Cloudy,Urban,Public Interaction
83,4,Cloudy,Rural,Meditation
55,6,Rainy,Rural,Walk
72,5,Rainy,Suburban,Walk
51,5,Sunny,Rural,Meditation
91,8,Snowy,Rural,Meditation
92,11,Snowy,Rural,Reflection
61,4,Sunny,Suburban,Meditation
92,13,Snowy,Suburban,Reflection
60,9,Sunny,Urban,Public Interaction
99,11,Sunny,Suburban,Reflection
85,7,Cloudy,Rural,Meditation
87,10,Sunny,Rural,Meditation
101,11,Sunny,Rural,Reflection
102,4,Sunny,Urban,Public Interaction
97,8,Cloudy,Rural,Meditation
101,4,Sunny,Rural,Meditation
52,9,Sunny,Suburban,Meditation
57,8,Cloudy,Urban,Public Interaction
75,13,Sunny,Suburban,Meditation
56,9,Sunny,Urban,Public Interaction
89,10,Sunny,Suburban,Meditation
79,8,Sunny,Suburban,Meditation
63,6,Rainy,Rural,Walk
82,13,Sunny,Urban,Public Interaction
55,4,Rainy,Urban,Public Interaction
75,7,Sunny,Rural,Meditation
62,12,Sunny,Rural,Meditation
59,5,Sunny,Rural,Meditation
65,8,Cloudy,Suburban,Meditation
91,10,Sunny,Urban,Public Interaction
104,7,Sunny,Urban,Public Interaction
101,8,Sunny,Rural,Meditation
97,6,Sunny,Rural,Meditation
92,7,Sunny,Suburban,Meditation
68,10,Sunny,Urban,Public Interaction
50,5,Snowy,Urban,Public Interaction
68,12,Sunny,Suburban,Meditation
77,8,Sunny,Suburban,Meditation
55,10,Snowy,Rural,Meditation
81,6,Sunny,Urban,Public Interaction
79,11,Sunny,Rural,Meditation
82,8,Sunny,Rural,Meditation
69,11,Rainy,Suburban,Walk
78,11,Rainy,Urban,Public Interaction
93,4,Sunny,Rural,Meditation
68,11,Sunny,Urban,Public Interaction
91,11,Snowy,Urban,Public Interaction
64,7,Rainy,Suburban,Walk
79,9,Cloudy,Rural,Meditation
100,13,Cloudy,Urban,Public Interaction
107,5,Rainy,Urban,Public Interaction
51,8,Cloudy,Urban,Public Interaction
67,7,Snowy,Urban,Public Interaction
65,6,Rainy,Urban,Public Interaction
88,13,Sunny,Rural,Meditation
104,10,Sunny,Suburban,Meditation
66,5,Rainy,Rural,Walk
107,8,Sunny,Rural,Meditation
78,5,Snowy,Suburban,Meditation
68,9,Sunny,Urban,Public Interaction
95,7,Rainy,Suburban,Walk
69,12,Rainy,Rural,Walk
53,4,Sunny,Rural,Meditation
96,9,Sunny,Urban,Public Interaction
82,5,Snowy,Urban,Public Interaction
92,8,Snowy,Rural,Meditation
107,8,Sunny,Suburban,Meditation
94,8,Sunny,Suburban,Meditation
60,8,Sunny,Urban,Public Interaction
58,8,Snowy,Rural,Meditation
108,6,Rainy,Suburban,Walk
83,11,Cloudy,Suburban,Meditation
52,13,Sunny,Suburban,Meditation
109,12,Sunny,Rural,Reflection
87,11,Sunny,Urban,Public Interaction
75,7,Sunny,Suburban,Meditation
59,9,Sunny,Rural,Meditation
109,7,Rainy,Rural,Walk
52,11,Cloudy,Urban,Public Interaction
105,13,Rainy,Urban,Public Interaction
93,11,Rainy,Rural,Walk
78,11,Rainy,Suburban,Walk
52,5,Cloudy,Urban,Public Interaction
89,13,Sunny,Rural,Meditation
100,12,Sunny,Urban,Public Interaction
90,10,Rainy,Suburban,Walk
87,8,Sunny,Suburban,Meditation
78,8,Cloudy,Urban,Public Interaction
84,8,Sunny,Urban,Public Interaction
63,11,Cloudy,Rural,Meditation
88,13,Snowy,Rural,Meditation
57,12,Rainy,Suburban,Walk
101,10,Rainy,Urban,Public Interaction
107,8,Sunny,Rural,Meditation
81,11,Rainy,Rural,Walk
103,6,Sunny,Suburban,Meditation
102,4,Sunny,Suburban,Meditation
77,5,Sunny,Rural,Meditation
61,7,Cloudy,Suburban,Meditation
55,11,Snowy,Suburban,Meditation
84,12,Sunny,Suburban,Meditation
63,13,Snowy,Urban,Public Interaction
86,13,Sunny,Rural,Meditation
64,8,Rainy,Rural,Walk
83,10,Rainy,Suburban,Walk
74,7,Sunny,Suburban,Meditation
68,12,Rainy,Suburban,Walk
77,10,Rainy,Urban,Public Interaction
71,4,Rainy,Urban,Public Interaction
87,7,Sunny,Urban,Public Interaction
76,5,Sunny,Suburban,Meditation
106,9,Sunny,Suburban,Meditation
101,10,Sunny,Rural,Meditation
65,9,Rainy,Rural,Walk
99,7,Sunny,Suburban,Meditation
106,13,Sunny,Rural,Reflection
52,8,Sunny,Suburban,Meditation
107,4,Cloudy,Suburban,Meditation
88,6,Sunny,Rural,Meditation
63,11,Cloudy,Urban,Public Interaction
106,4,Rainy,Rural,Walk
89,9,Cloudy,Rural,Meditation
55,5,Cloudy,Rural,Meditation
103,13,Rainy,Urban,Public Interaction
56,11,Sunny,Rural,Meditation
101,6,Sunny,Suburban,Meditation
56,7,Sunny,Rural,Meditation
61,7,Sunny,Suburban,Meditation
66,11,Sunny,Urban,Public Interaction
53,10,Rainy,Urban,Public Interaction
95,5,Sunny,Urban,Public Interaction
99,6,Sunny,Suburban,Meditation
72,4,Sunny,Suburban,Meditation
82,9,Snowy,Suburban,Meditation
74,8,Sunny,Rural,Meditation
57,4,Sunny,Urban,Public Interaction
81,12,Snowy,Suburban,Meditation
64,6,Snowy,Suburban,Meditation
91,7,Rainy,Urban,Public Interaction
92,13,Rainy,Suburban,Walk
85,9,Sunny,Urban,Public Interaction
87,7,Rainy,Urban,Public Interaction
63,8,Sunny,Rural,Meditation
68,7,Rainy,Rural,Walk
97,12,Sunny,Suburban,Reflection
106,8,Cloudy,Suburban,Meditation
79,11,Rainy,Urban,Public Interaction
58,10,Sunny,Rural,Meditation
106,7,Sunny,Rural,Meditation
72,9,Sunny,Urban,Public Interaction
88,9,Rainy,Suburban,Walk
102,6,Snowy,Urban,Public Interaction
106,12,Sunny,Urban,Public Interaction
89,7,Snowy,Suburban,Meditation
62,13,Cloudy,Rural,Meditation
108,9,Cloudy,Suburban,Meditation
55,7,Rainy,Suburban,Walk
103,13,Sunny,Rural,Reflection
106,12,Sunny,Suburban,Reflection
62,12,Rainy,Urban,Public Interaction
105,11,Snowy,Rural,Reflection
54,8,Cloudy,Suburban,Meditation
58,9,Sunny,Suburban,Meditation
61,9,Sunny,Suburban,Meditation
89,11,Snowy,Suburban,Meditation
62,12,Snowy,Urban,Public Interaction
84,10,Sunny,Suburban,Meditation
69,7,Sunny,Rural,Meditation
92,5,Snowy,Urban,Public Interaction
79,6,Snowy,Urban,Public Interaction
56,11,Rainy,Suburban,Walk
54,10,Cloudy,Suburban,Meditation
64,13,Sunny,Suburban,Meditation
76,6,Cloudy,Rural,Meditation
66,4,Rainy,Suburban,Walk
101,13,Sunny,Urban,Public Interaction
84,12,Sunny,Suburban,Meditation
82,9,Sunny,Suburban,Meditation
80,12,Cloudy,Urban,Public Interaction
90,11,Sunny,Suburban,Meditation
72,8,Snowy,Suburban,Meditation
89,13,Sunny,Urban,Public Interaction
96,13,Sunny,Urban,Public Interaction
67,12,Rainy,Suburban,Walk
65,10,Sunny,Urban,Public Interaction
91,13,Sunny,Suburban,Reflection
54,12,Cloudy,Suburban,Meditation
84,4,Snowy,Rural,Meditation
69,5,Sunny,Rural,Meditation
55,11,Sunny,Suburban,Meditation
97,6,Sunny,Urban,Public Interaction
78,5,Rainy,Urban,Public Interaction
60,11,Snowy,Urban,Public Interaction
67,13,Cloudy,Suburban,Meditation
103,12,Sunny,Rural,Reflection
101,4,Cloudy,Suburban,Meditation
82,4,Rainy,Suburban,Walk
57,6,Sunny,Urban,Public Interaction
80,9,Sunny,Suburban,Meditation
62,13,Rainy,Urban,Public Interaction
76,12,Rainy,Urban,Public Interaction
71,10,Rainy,Rural,Walk
79,13,Cloudy,Rural,Meditation
86,8,Sunny,Urban,Public Interaction
55,11,Sunny,Urban,Public Interaction
74,11,Rainy,Rural,Walk
65,11,Snowy,Suburban,Meditation
61,6,Sunny,Suburban,Meditation
81,6,Cloudy,Rural,Meditation
55,5,Snowy,Urban,Public Interaction
90,8,Cloudy,Urban,Public Interaction
61,11,Rainy,Suburban,Walk
101,6,Rainy,Suburban,Walk
68,6,Cloudy,Rural,Meditation
51,10,Cloudy,Suburban,Meditation
95,10,Sunny,Urban,Public Interaction
71,4,Sunny,Rural,Meditation
81,10,Snowy,Urban,Public Interaction
105,13,Sunny,Rural,Reflection
72,8,Cloudy,Rural,Meditation
88,6,Snowy,Rural,Meditation
59,13,Rainy,Rural,Walk
98,11,Cloudy,Rural,Reflection
67,4,Sunny,Suburban,Meditation
106,13,Sunny,Rural,Reflection
105,12,Sunny,Urban,Public Interaction
81,4,Rainy,Suburban,Walk
66,5,Sunny,Rural,Meditation
59,12,Sunny,Rural,Meditation
93,7,Rainy,Rural,Walk
78,7,Rainy,Urban,Public Interaction
104,11,Cloudy,Urban,Public Interaction
58,11,Cloudy,Suburban,Meditation
91,11,Rainy,Suburban,Walk
71,6,Sunny,Rural,Meditation
82,9,Sunny,Rural,Meditation
78,7,Sunny,Suburban,Meditation
98,13,Cloudy,Suburban,Reflection
62,7,Sunny,Suburban,Meditation
105,11,Rainy,Urban,Public Interaction
65,7,Snowy,Suburban,Meditation
97,12,Sunny,Urban,Public Interaction
73,8,Rainy,Urban,Public Interaction
64,12,Sunny,Urban,Public Interaction
51,10,Sunny,Suburban,Meditation
89,6,Snowy,Rural,Meditation
75,7,Sunny,Rural,Meditation
94,9,Rainy,Suburban,Walk
104,6,Cloudy,Suburban,Meditation
89,4,Rainy,Rural,Walk
76,4,Sunny,Rural,Meditation
77,6,Snowy,Rural,Meditation
71,6,Cloudy,Rural,Meditation
106,9,Sunny,Rural,Meditation
52,11,Sunny,Urban,Public Interaction
94,4,Snowy,Suburban,Meditation
60,10,Sunny,Suburban,Meditation
90,4,Sunny,Urban,Public Interaction
57,8,Sunny,Suburban,Meditation
91,12,Sunny,Urban,Public Interaction
66,7,Sunny,Urban,Public Interaction
104,5,Sunny,Urban,Public Interaction
93,4,Cloudy,Suburban,Meditation
91,13,Sunny,Suburban,Reflection
55,13,Snowy,Urban,Public Interaction
84,7,Cloudy,Urban,Public Interaction
85,5,Cloudy,Suburban,Meditation
71,6,Sunny,Rural,Meditation
107,9,Sunny,Suburban,Meditation
106,7,Sunny,Rural,Meditation
80,9,Cloudy,Rural,Meditation
96,10,Sunny,Rural,Meditation
69,5,Sunny,Suburban,Meditation
57,7,Cloudy,Rural,Meditation
75,7,Sunny,Urban,Public Interaction
82,4,Sunny,Urban,Public Interaction
68,12,Sunny,Rural,Meditation
86,9,Sunny,Urban,Public Interaction
59,12,Cloudy,Urban,Public Interaction
107,8,Sunny,Suburban,Meditation
90,4,Cloudy,Suburban,Meditation
107,10,Rainy,Rural,Walk
73,9,Sunny,Rural,Meditation
83,13,Cloudy,Suburban,Meditation
52,6,Sunny,Suburban,Meditation
102,9,Sunny,Suburban,Meditation
54,9,Sunny,Suburban,Meditation
100,6,Snowy,Suburban,Meditation
66,5,Rainy,Urban,Public Interaction
81,5,Sunny,Suburban,Meditation
60,10,Sunny,Rural,Meditation
73,9,Sunny,Suburban,Meditation
56,7,Sunny,Urban,Public Interaction
53,5,Sunny,Urban,Public Interaction
85,5,Sunny,Suburban,Meditation
107,6,Cloudy,Urban,Public Interaction
53,6,Cloudy,Suburban,Meditation
87,7,Rainy,Rural,Walk
56,6,Rainy,Suburban,Walk
52,5,Rainy,Rural,Walk
57,12,Rainy,Urban,Public Interaction
71,10,Cloudy,Suburban,Meditation
94,6,Sunny,Rural,Meditation
100,4,Sunny,Rural,Meditation
54,10,Sunny,Suburban,Meditation
63,7,Rainy,Rural,Walk
82,13,Sunny,Rural,Meditation
92,5,Sunny,Rural,Meditation
93,13,Sunny,Rural,Reflection
50,11,Sunny,Urban,Public Interaction
92,8,Sunny,Suburban,Meditation
85,10,Sunny,Urban,Public Interaction
103,10,Sunny,Urban,Public Interaction
64,5,Rainy,Rural,Walk
100,4,Cloudy,Rural,Meditation
53,12,Sunny,Suburban,Meditation
107,4,Sunny,Rural,Meditation
109,7,Snowy,Suburban,Meditation
50,12,Rainy,Urban,Public Interaction
75,4,Sunny,Suburban,Meditation
54,11,Cloudy,Suburban,Meditation
109,5,Sunny,Suburban,Meditation
50,5,Rainy,Suburban,Walk
85,4,Sunny,Urban,Public Interaction
57,9,Sunny,Urban,Public Interaction
94,9,Sunny,Urban,Public Interaction
95,4,Sunny,Suburban,Meditation
62,12,Snowy,Rural,Meditation
107,10,Sunny,Urban,Public Interaction
86,11,Rainy,Urban,Public Interaction
55,13,Snowy,Suburban,Meditation
72,13,Rainy,Suburban,Walk
62,6,Cloudy,Rural,Meditation
68,12,Sunny,Rural,Meditation
103,11,Sunny,Suburban,Reflection
72,7,Snowy,Rural,Meditation
59,6,Sunny,Urban,Public Interaction
69,5,Sunny,Urban,Public Interaction
75,12,Cloudy,Rural,Meditation
77,7,Rainy,Urban,Public Interaction
58,5,Rainy,Rural,Walk
53,8,Sunny,Rural,Meditation
67,11,Cloudy,Urban,Public Interaction
80,11,Cloudy,Urban,Public Interaction
53,9,Sunny,Rural,Meditation
93,8,Sunny,Urban,Public Interaction
91,5,Sunny,Suburban,Meditation
85,4,Cloudy,Suburban,Meditation
77,10,Rainy,Rural,Walk
70,4,Sunny,Rural,Meditation
74,13,Snowy,Urban,Public Interaction
79,6,Snowy,Rural,Meditation
90,4,Sunny,Suburban,Meditation
70,11,Cloudy,Suburban,Meditation
58,4,Sunny,Rural,Meditation
88,4,Cloudy,Rural,Meditation
70,7,Sunny,Rural,Meditation
53,5,Sunny,Rural,Meditation
74,10,Sunny,Urban,Public Interaction
84,11,Cloudy,Urban,Public Interaction
60,9,Sunny,Urban,Public Interaction
78,7,Snowy,Urban,Public Interaction
61,7,Sunny,Suburban,Meditation
94,10,Sunny,Urban,Public Interaction
84,11,Sunny,Rural,Meditation
99,12,Cloudy,Rural,Reflection
56,12,Rainy,Rural,Walk
75,8,Cloudy,Suburban,Meditation
73,4,Sunny,Urban,Public Interaction
89,6,Cloudy,Suburban,Meditation
56,4,Sunny,Suburban,Meditation
108,6,Rainy,Urban,Public Interaction
90,12,Cloudy,Rural,Meditation
54,13,Sunny,Urban,Public Interaction
65,9,Sunny,Rural,Meditation
62,8,Rainy,Rural,Walk
108,5,Rainy,Rural,Walk
51,9,Rainy,Urban,Public Interaction
60,5,Rainy,Suburban,Walk
50,10,Sunny,Urban,Public Interaction
68,10,Sunny,Suburban,Meditation
86,8,Sunny,Suburban,Meditation
76,6,Rainy,Rural,Walk
86,9,Rainy,Urban,Public Interaction
57,4,Snowy,Urban,Public Interaction
70,8,Sunny,Urban,Public Interaction
66,5,Snowy,Urban,Public Interaction
66,6,Cloudy,Urban,Public Interaction
57,13,Snowy,Suburban,Meditation
96,8,Sunny,Suburban,Meditation
86,9,Rainy,Suburban,Walk
94,4,Snowy,Urban,Public Interaction
89,5,Rainy,Rural,Walk
109,6,Sunny,Suburban,Meditation
71,6,Sunny,Rural,Meditation
54,9,Snowy,Rural,Meditation
73,7,Snowy,Urban,Public Interaction
77,12,Cloudy,Rural,Meditation
80,5,Sunny,Suburban,Meditation
96,13,Sunny,Rural,Reflection
56,8,Sunny,Suburban,Meditation
69,10,Rainy,Suburban,Walk
91,4,Sunny,Suburban,Meditation
54,6,Sunny,Urban,Public Interaction
55,4,Sunny,Suburban,Meditation
96,10,Rainy,Urban,Public Interaction
89,11,Cloudy,Rural,Meditation
92,9,Sunny,Suburban,Meditation
72,4,Cloudy,Urban,Public Interaction
56,6,Sunny,Urban,Public Interaction
105,8,Rainy,Urban,Public Interaction
67,11,Cloudy,Urban,Public Interaction
65,9,Sunny,Suburban,Meditation
54,11,Sunny,Urban,Public Interaction
99,10,Rainy,Urban,Public Interaction
78,10,Sunny,Urban,Public Interaction
82,7,Sunny,Suburban,Meditation
76,9,Sunny,Urban,Public Interaction
92,4,Rainy,Suburban,Walk
72,9,Cloudy,Urban,Public Interaction
57,5,Cloudy,Rural,Meditation
99,6,Sunny,Suburban,Meditation
95,13,Sunny,Rural,Reflection
78,5,Sunny,Urban,Public Interaction
107,11,Sunny,Rural,Reflection
55,9,Sunny,Suburban,Meditation
54,4,Sunny,Urban,Public Interaction
65,12,Sunny,Suburban,Meditation
84,8,Sunny,Suburban,Meditation
55,8,Cloudy,Urban,Public Interaction
51,5,Sunny,Rural,Meditation
99,7,Rainy,Urban,Public Interaction
101,12,Cloudy,Suburban,Reflection
53,11,Cloudy,Rural,Meditation
86,7,Sunny,Rural,Meditation
92,11,Rainy,Suburban,Walk
60,8,Cloudy,Suburban,Meditation
50,8,Rainy,Suburban,Walk
77,7,Sunny,Suburban,Meditation
107,6,Snowy,Urban,Public Interaction
87,4,Snowy,Suburban,Meditation
60,8,Rainy,Suburban,Walk
68,12,Sunny,Urban,Public Interaction
57,12,Sunny,Suburban,Meditation
94,6,Sunny,Suburban,Meditation
106,8,Cloudy,Urban,Public Interaction
104,13,Cloudy,Rural,Reflection
70,5,Cloudy,Urban,Public Interaction
58,11,Sunny,Suburban,Meditation
51,4,Cloudy,Rural,Meditation
65,12,Cloudy,Urban,Public Interaction
71,4,Rainy,Rural,Walk
56,8,Sunny,Urban,Public Interaction
52,11,Cloudy,Suburban,Meditation
85,4,Sunny,Urban,Public Interaction
107,5,Sunny,Rural,Meditation
80,9,Sunny,Rural,Meditation
60,5,Rainy,Rural,Walk
84,6,Sunny,Suburban,Meditation
54,12,Cloudy,Suburban,Meditation
52,5,Rainy,Urban,Public Interaction
109,6,Snowy,Suburban,Meditation
56,9,Cloudy,Urban,Public Interaction
50,12,Sunny,Urban,Public Interaction
77,8,Cloudy,Rural,Meditation
86,10,Sunny,Urban,Public Interaction
105,10,Snowy,Suburban,Meditation
93,5,Sunny,Suburban,Meditation
53,12,Sunny,Urban,Public Interaction
61,4,Sunny,Suburban,Meditation
106,10,Rainy,Suburban,Walk
53,9,Sunny,Suburban,Meditation
74,7,Cloudy,Rural,Meditation
107,13,Cloudy,Urban,Public Interaction
58,9,Sunny,Suburban,Meditation
66,12,Rainy,Urban,Public Interaction
80,5,Cloudy,Urban,Public Interaction
95,6,Rainy,Urban,Public Interaction
86,5,Cloudy,Urban,Public Interaction
73,6,Sunny,Rural,Meditation
80,11,Cloudy,Urban,Public Interaction
54,9,Cloudy,Suburban,Meditation
69,5,Sunny,Urban,Public Interaction
92,7,Snowy,Suburban,Meditation
101,4,Snowy,Urban,Public Interaction
78,5,Sunny,Urban,Public Interaction
109,9,Cloudy,Urban,Public Interaction
74,11,Sunny,Suburban,Meditation
99,4,Sunny,Suburban,Meditation
85,7,Rainy,Suburban,Walk
68,12,Rainy,Urban,Public Interaction
71,10,Cloudy,Urban,Public Interaction
